Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S12875000057,06/17/2013,2951,Dahl's / Hickman,8700 HICKMAN,CLIVE,50322,,77,Polk,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34036,Absolut Pears,12,750,11.00,16.49,4,65.96,3.00,0.79
S26604900025,07/07/2015,4177,"Good Luck, Inc.",806 W MAIN ST,LE GRAND,50142,POINT (-92.78465400000002 42.006665),64,Marshall,1012210,SINGLE MALT SCOTCH,65,Jim Beam Brands,5446,Laphroaig 10 Yr Single Malt Scotch,12,750,26.24,39.36,1,39.36,0.75,0.20
S09020200006,11/16/2012,4284,Fareway Stores #559 / Iowa Falls,500 IOWA ST,IOWA FALLS,50126,POINT (-93.263746 42.522324),42,Hardin,1041100,AMERICAN DRY GINS,205,E AND J GALLO WINERY,31473,New Amsterdam Gin,6,1750,13.31,19.97,3,59.91,5.25,1.39
S19891800008,07/02/2014,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,POINT (-93.673222 41.600361),77,Polk,1031200,VODKA FLAVORED,259,Heaven Hill Brands,40152,Deep Eddy Cranberry,12,750,9.00,13.50,12,162.00,9.00,2.38
S28824600075,11/03/2015,2524,Hy-Vee Food Store / Dubuque,3500 DODGE ST,DUBUQUE,52001,,31,Dubuque,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34422,Grey Goose Vodka,6,1000,22.50,33.75,6,202.50,6.00,1.59
S16086200023,12/05/2013,4802,Walgreens #07452 / Des Moines,4415 DOUGLAS AVE,DES MOINES,50310,POINT (-93.678747 41.62949),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,20248,Old Crow,6,1750,8.92,13.38,6,80.28,10.50,2.77
S27362700084,08/17/2015,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,POINT (-91.668909 42.034799),57,Linn,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42718,Malibu Coconut Rum,6,1750,16.49,24.74,6,148.44,10.50,2.77
S16947900056,01/21/2014,3621,"Jensen Liquors, Ltd.",615  2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71,O'Brien,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43137,Bacardi Limon,12,1000,10.24,15.35,2,30.70,2.00,0.53
S11261600146,03/25/2013,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,Woodbury,1022100,TEQUILA,85,Brown-Forman Corporation,89278,El Jimador Reposado Tequila,12,750,10.63,15.95,3,47.85,2.25,0.59
S15325600007,10/23/2013,4650,Loofts on 9 Liquor Here or Liquor Th,"202, W 4th AVE",SWEA CITY,50590,POINT (-94.30874900000002 43.38496),55,Kossuth,1081200,CREAM LIQUEURS,260,Diageo Americas,68049,Bailey's Vanilla Cinnamon,12,750,13.00,19.50,12,234.00,9.00,2.38
S09305100019,12/04/2012,3461,Hometown Foods / Stuart,611 S DIVISION ST,STUART,50250,POINT (-94.318443 41.49759900000001),01,Adair,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32238,Seagrams Extra Dry Gin,6,1750,10.90,16.35,3,49.05,5.25,1.39
S17474900039,02/19/2014,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,POINT (-95.544794 42.488704),47,Ida,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52317,Christian Bros Brandy-Square,12,1000,7.11,10.66,3,31.98,3.00,0.79
S04227200073,02/22/2012,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,,77,Polk,1081370,WATERMELON SCHNAPPS,65,Jim Beam Brands,82866,Dekuyper Watermelon Pucker,12,750,6.30,9.45,4,37.80,3.00,0.79
S16616600062,01/02/2014,4481,THE LIQUOR HOUSE,425 GILBERT ST,IOWA CITY,52240,POINT (-91.530225 41.656031),52,Johnson,1031100,100 PROOF VODKA,434,Luxco-St Louis,36301,Hawkeye Vodka 80 Prf Mini,12,500,3.73,5.59,1,5.59,0.50,0.13
S27290700023,08/12/2015,3682,Jumbo's,110 E MAIN ST,WESLEY,50483,POINT (-93.990256 43.088341),55,Kossuth,1022100,TEQUILA,65,Jim Beam Brands,88548,Hornitos Plata,12,750,13.64,20.46,2,40.92,1.50,0.40
S06467900012,07/09/2012,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,POINT (-91.529854 41.663541),52,Johnson,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,8.25,12.49,12,149.88,9.00,2.38
S06350600107,07/02/2012,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,Woodbury,1031080,VODKA 80 PROOF,421,"Sazerac Co., Inc.",36978,Nikolai Vodka,6,1750,6.87,10.30,6,61.80,10.50,2.77
S07368100066,10/12/2012,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1031200,VODKA FLAVORED,260,Diageo Americas,40949,Smirnoff Fluffed Marshmallow,12,750,7.96,11.94,12,143.28,9.00,2.38
S16302500016,12/16/2013,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,125,"Cedar Ridge Vineyards,LLC",46112,Cedar Ridge Dark Rum,6,750,17.50,26.25,6,157.50,4.50,1.19
S23362600028,01/07/2015,5010,Sac City Food Pride,106 S 16TH ST,SAC CITY,50583,POINT (-95.002637 42.422404),81,Sac,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31656,Paramount Gin,12,750,3.40,5.10,3,15.30,2.25,0.59
S18699800032,05/01/2014,4265,Kwik Stop 3 / Waterloo,1104 WASHINGTON ST,WATERLOO,50702,POINT (-92.336965 42.489106),07,Black Hawk,1032200,IMPORTED VODKA - MISC,260,Diageo Americas,64762,Ciroc Red Berry,12,375,9.00,13.50,6,81.00,2.25,0.59
S26610300127,07/07/2015,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,POINT (-90.668138 42.504959),31,Dubuque,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42716,Malibu Coconut Rum,12,750,7.49,11.24,1,11.24,0.75,0.20
S03534700008,01/12/2012,4399,KUM & GO #59 / WAUKEE,33083 UTE AVE,WAUKEE,50263,POINT (-93.88066800000001 41.56041),25,Dallas,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19061,Jim Beam Mini,12,500,6.83,10.24,1,10.24,0.50,0.13
S22800500035,12/08/2014,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36307,Hawkeye Vodka,12,1000,4.05,6.08,24,145.92,24.00,6.34
S12591000035,06/04/2013,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),09,Bremer,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,12,1000,8.93,13.64,12,163.68,12.00,3.17
S24602200019,03/18/2015,4453,SID'S GAS and GROCERIES,"1116, HWY 69 SOUTH",FOREST CITY,50436,POINT (-93.637202 43.24898100000001),95,Winnebago,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75211,Kinky Liqueur,12,750,10.00,15.00,2,30.00,1.50,0.40
S26498200031,06/30/2015,4197,Fareway Stores #014 / Sergeant Bluff,700  1ST ST,SERGEANT BLUFF,51054,POINT (-96.353078 42.400504),97,Woodbury,1062310,SPICED RUM,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.33,2,34.66,3.50,0.92
S22324000034,11/12/2014,4147,Fareway Stores #974 / Cedar Falls,214 N MAGNOLIA DR,CEDAR FALLS,50613,POINT (-92.474689 42.539076),07,Black Hawk,1081010,AMERICAN AMARETTO,434,Luxco-St Louis,76486,Paramount Amaretto,12,750,3.38,5.07,3,15.21,2.25,0.59
S12673600006,06/10/2013,4019,Wal-Mart 1506 / Manchester,1220 WEST MAIN,MANCHESTER,52057,,28,Delaware,1012100,CANADIAN WHISKIES,260,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,31.50,47.24,12,566.88,21.00,5.55
S23351300093,01/07/2015,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67,Monona,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65248,Jagermeister Spice,12,750,12.05,18.08,1,18.08,0.75,0.20
S06348500045,07/02/2012,3981,Wal-Mart 1152 / Sioux Center,255 16TH ST SW,SIOUX CENTER,51250,POINT (-96.179835 43.060881),84,Sioux,1071100,AMERICAN COCKTAILS,395,Proximo,58875,Jose Cuervo Golden Margarita,6,1750,10.50,15.74,6,94.44,10.50,2.77
S08712600069,11/01/2012,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,POINT (-90.608201 41.560663),82,Scott,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.90,10.35,2,20.70,1.50,0.40
S21235900038,09/16/2014,4277,Cork It!,769 PROSPECT ST SW,LE MARS,51031,POINT (-96.178219 42.776296),75,Plymouth,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,421,"Sazerac Co., Inc.",69609,Dr. McGillicuddy's Apple Pie Mini,12,500,4.96,7.44,1,7.44,0.50,0.13
S21403300083,09/24/2014,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53,Jones,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24453,Kessler Blend Whiskey,48,200,1.77,2.66,3,7.98,0.60,0.16
S16033600021,12/02/2013,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,POINT (-93.378772 43.142868),17,Cerro Gordo,1031080,VODKA 80 PROOF,297,Laird And Company,35916,Five O'clock Vodka,12,750,3.37,5.06,12,60.72,9.00,2.38
S09400500036,12/11/2012,3959,Hartig Drug Company #8 / University,1600 UNIVERSITY AVE,DUBUQUE,52001,POINT (-90.688027 42.498279),31,Dubuque,1071100,AMERICAN COCKTAILS,65,Jim Beam Brands,63354,Skinnygirl White Cranberry Cosmo,12,750,7.87,11.81,2,23.62,1.50,0.40
S12987400023,06/26/2013,3747,T-N-T Liquor,110 SOUTH MAIN,SIGOURNEY,52591,POINT (-92.20510500000002 41.333293),54,Keokuk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19067,Jim Beam,12,1000,12.07,18.11,2,36.22,2.00,0.53
S26731000006,07/14/2015,4102,Fareway Stores #386 / Ames,619 BURNETT AVE,AMES,50010,POINT (-93.615428 42.027426),85,Story,1062310,SPICED RUM,260,Diageo Americas,1799,Captain Morgan Spiced Barrel,6,1750,18.00,27.00,6,162.00,10.50,2.77
S11130600005,03/18/2013,4008,Sioux Valley Spirits,116 E MAIN ST,ANTHON,51004,POINT (-95.867335 42.388268),97,Woodbury,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,82607,Dekuyper Sour Apple,12,1000,7.62,11.43,12,137.16,12.00,3.17
S08858600007,11/08/2012,4141,Fareway Stores #975 / SE 22nd / DSM,3000 SE 22ND ST,DES MOINES,50320,POINT (-93.57748 41.556274),77,Polk,1011100,BLENDED WHISKIES,260,Diageo Americas,25608,Seagrams 7 Crown Bl Whiskey,6,1750,11.26,16.90,6,101.40,10.50,2.77
S27503100007,08/25/2015,3963,Tobacco Hut #14 / Council Bluffs,1925 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.873073 41.261866),78,Pottawattamie,1011100,BLENDED WHISKIES,297,Laird And Company,23827,Five Star,12,1000,4.40,6.60,12,79.20,12.00,3.17
S12747800157,06/15/2013,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1022100,TEQUILA,35,"Bacardi U.S.A., Inc.",89099,Cazadores Anejo,6,750,23.47,35.21,2,70.42,1.50,0.40
S24406100031,03/09/2015,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 BOYSON RD NE,CEDAR RAPIDS,52402,POINT (-91.63913 42.04671),57,Linn,1012100,CANADIAN WHISKIES,260,Diageo Americas,10803,Crown Royal Regal Apple Mini,10,300,7.35,11.03,1,11.03,0.30,0.08
S20918100024,08/28/2014,4190,Fareway Stores #888 / Jefferson,1207 N ELM ST,JEFFERSON,50129,POINT (-94.377667 42.026833),37,Greene,1031080,VODKA 80 PROOF,301,Fifth Generation Inc.,38176,Titos Vodka,12,750,9.65,14.48,6,86.88,4.50,1.19
S26975200024,07/27/2015,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,POINT (-95.899346 41.557404),43,Harrison,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19068,Jim Beam,6,1750,20.99,31.49,2,62.98,3.50,0.92
S05882700013,06/05/2012,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,Lee,1022100,TEQUILA,410,The Patron Spirits Company,88296,Patron Tequila Silver,12,750,26.08,39.13,12,469.56,9.00,2.38
S23315600010,01/06/2015,3629,Wal-Mart 1965 / Council Bluffs,3200 MANAWA DR,COUNCIL BLUFFS,51503,,78,Pottawattamie,1031080,VODKA 80 PROOF,55,Sazerac North America,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,7.18,10.77,12,129.24,21.00,5.55
S29279800060,11/23/2015,3573,Quik Shop Foods / Four M In,405 S MADISON,OTTUMWA,52501,POINT (-92.41041400000002 40.999034),90,Wapello,1081317,GRAPE SCHNAPPS,65,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,7.62,11.43,12,137.16,12.00,3.17
S03470400026,01/09/2012,2575,Hy-Vee Food Store #1 / Waterloo,2834 Ansborough Ave,WATERLOO,50702,POINT (-92.37662400000002 42.471767),07,Black Hawk,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48104,Hennessy Vs Cognac,24,375,8.38,12.58,3,37.74,1.12,0.30
S19799700037,06/27/2014,3549,Quicker Liquor Store,1414 48TH ST,FORT MADISON,52627,POINT (-91.373211 40.62422600000001),56,Lee,1032200,IMPORTED VODKA - MISC,260,Diageo Americas,64716,Ciroc Peach,12,750,18.75,28.12,12,337.44,9.00,2.38
S20010400081,07/09/2014,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1031200,VODKA FLAVORED,260,Diageo Americas,40986,Smirnoff Blueberry Vodka,12,750,8.25,12.37,1,12.37,0.75,0.20
S10848300037,02/28/2013,4873,Casey's General Store #2559 / Grange,"1802, SYCAMORE ST",GRANGER,50109,POINT (-93.824366 41.758781),25,Dallas,1022100,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.73,6,94.38,4.50,1.19
S18599800008,04/24/2014,4864,CLINTON LIQUOR & CONVENIENCE STORE,1641 S BLUFF BLVD,CLINTON,52733,POINT (-90.225022 41.833351),23,Clinton,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75211,Kinky Liqueur,12,750,10.00,15.00,12,180.00,9.00,2.38
S22696900031,12/02/2014,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77,Polk,1041100,AMERICAN DRY GINS,306,Mississippi River Distilling Co.,31990,River Rose Gin,6,750,16.17,24.26,6,145.56,4.50,1.19
S26938800221,07/23/2015,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17,Cerro Gordo,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34366,Fris Danish Vodka,12,750,4.99,7.49,2,14.98,1.50,0.40
S15574000007,11/06/2013,4717,Walgreens #05512 / Bettendorf,3425 MIDDLE RD,BETTENDORF,52722,POINT (-90.485409 41.550718),82,Scott,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,10.45,15.67,6,94.02,10.50,2.77
S07406200002,08/29/2012,4679,Walgreens #12393 / Cedar Rapids,5750 C AVE NE,CEDAR RAPIDS,52402,POINT (-91.638516 42.035993000000005),57,Linn,1062310,SPICED RUM,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.32,6,103.92,10.50,2.77
S19769900010,06/26/2014,4406,KUM & GO #4020 / ANKENY,1910 SW WHITE BIRCH CIRCLE,ANKENY,50023,POINT (-93.62657100000001 41.701905),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45276,Paramount White Rum,12,750,4.00,6.00,12,72.00,9.00,2.38
S14839300027,09/30/2013,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,POINT (-93.21693 42.741728),35,Franklin,1022100,TEQUILA,260,Diageo Americas,89154,Don Julio Reposado,6,750,28.50,42.75,6,256.50,4.50,1.19
S16390700158,12/20/2013,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773557 41.561197),77,Polk,1032200,IMPORTED VODKA - MISC,395,Proximo,34995,Three Olives Grape Vodka,12,750,11.17,16.76,4,67.04,3.00,0.79
S06512800023,07/10/2012,3700,Avoca Liquor,158 SOUTH ELM,AVOCA,51521,POINT (-95.339412 41.476306),78,Pottawattamie,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42717,Malibu Coconut Rum,12,1000,9.77,14.66,12,175.92,12.00,3.17
S19677900045,06/23/2014,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 BOYSON RD NE,CEDAR RAPIDS,52402,POINT (-91.63913 42.04671),57,Linn,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,86668,Jack Daniel's Tennessee Honey Mini,12,500,9.06,13.59,1,13.59,0.50,0.13
S04668400079,03/21/2012,2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77,Polk,1022100,TEQUILA,330,Gemini Spirits,89496,Margaritaville Gold Tequila,12,750,7.01,10.52,1,10.52,0.75,0.20
S09504000118,12/17/2012,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,,07,Black Hawk,1022100,TEQUILA,65,Jim Beam Brands,89796,Sauza Conmemorativo,12,750,14.17,21.25,6,127.50,4.50,1.19
S06284000030,06/27/2012,4068,Sa Petro Mart,136  1ST ST,WEST DES MOINES,50265,POINT (-93.703344 41.570743),77,Polk,1011100,BLENDED WHISKIES,260,Diageo Americas,25603,Seagrams 7 Crown Bl Whiskey,48,200,2.05,3.07,4,12.28,0.80,0.21
S23099900009,12/20/2014,5036,Point Liquor & Tobacco,4107 CENTER POINT RD NE,CEDAR RAPIDS,52402,POINT (-91.665196 42.02088),57,Linn,1031200,VODKA FLAVORED,259,Heaven Hill Brands,40126,Burnett's Mango Pineapple,12,750,4.18,6.60,12,79.20,9.00,2.38
S24094800027,02/17/2015,4805,Liquor Tobacco & Grocery / Fort Dodg,902 1ST AVE N,FORT DODGE,50501,POINT (-94.186138 42.506332),94,Webster,1011100,BLENDED WHISKIES,297,Laird And Company,23828,Five Star,6,1750,7.46,11.19,6,67.14,10.50,2.77
S20137900010,07/16/2014,3682,Jumbo's,110 E MAIN ST,WESLEY,50483,POINT (-93.990256 43.088341),55,Kossuth,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,24,258.24,42.00,11.10
S16742200025,01/08/2014,4963,Jeff's Market / Durant,"408, 6TH AVE",DURANT,52747,POINT (-90.911744 41.600606),16,Cedar,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,8.63,12.95,1,12.95,0.50,0.13
S23676000078,01/26/2015,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,,07,Black Hawk,1031100,100 PROOF VODKA,260,Diageo Americas,39866,Smirnoff Vodka 100 Prf,12,750,8.75,13.13,3,39.39,2.25,0.59
S05229300015,04/25/2012,4118,Lake View Redemption Center,502 5th Street,LAKE VIEW,51450,POINT (-95.051539 42.307764000000006),81,Sac,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65258,Jagermeister Liqueur,6,1750,25.69,38.53,6,231.18,10.50,2.77
S26881500039,07/21/2015,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT (-95.825137 41.242732),78,Pottawattamie,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45278,Paramount White Rum,6,1750,7.84,11.76,12,141.12,21.00,5.55
S22767200226,12/04/2014,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17,Cerro Gordo,1012200,SCOTCH WHISKIES,35,"Bacardi U.S.A., Inc.",4868,Dewars White Label Scotch,6,1750,26.75,40.13,2,80.26,3.50,0.92
S27842300071,09/10/2015,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77,Polk,1031080,VODKA 80 PROOF,421,"Sazerac Co., Inc.",36978,Nikolai Vodka,6,1750,6.92,10.38,18,186.84,31.50,8.32
S10005900034,01/14/2013,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1032080,IMPORTED VODKA,277,Stoli Group,34747,Stolichnaya Premium Vodka 80 Proof (lv),12,1000,16.18,24.27,12,291.24,12.00,3.17
S25241700016,04/22/2015,4057,Tequila's Liquor Store,1434 DES MOINES ST STE 5,DES MOINES,50316,POINT (-93.59704 41.594713),77,Polk,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,86691,Jack Daniel's Tennessee Fire Mini,12,500,4.80,7.20,12,86.40,6.00,1.59
S07112900011,08/14/2012,3631,Audubon Food Pride,104 MARKET ST PO BOX 206,AUDUBON,50025,POINT (-94.93625 41.723057),05,Audubon,1032200,IMPORTED VODKA - MISC,65,Jim Beam Brands,35867,Pinnacle Cotton Vodka,12,750,6.87,10.81,1,10.81,0.75,0.20
S03725300072,01/24/2012,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52318,Christian Bros Brandy,6,1750,9.71,15.32,3,45.96,5.25,1.39
S23942500043,02/09/2015,2549,Hy-Vee Food Store / Indianola,910 N JEFFERSON,INDIANOLA,50125,,91,Warren,1062310,SPICED RUM,260,Diageo Americas,43296,Captain Morgan Silver Spiced Rum,12,750,8.50,12.75,60,765.00,45.00,11.89
S11466600030,04/04/2013,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,Linn,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41681,Uv Red (cherry) Vodka,6,1750,10.98,16.48,6,98.88,10.50,2.77
S07962800010,09/26/2012,4134,Pleasantville Grocery,105 W MONROE ST,PLEASANTVILLE,50225,POINT (-93.269702 41.386718),63,Marion,1032080,IMPORTED VODKA,115,"Constellation Wine Company, Inc.",34820,Svedka Vodka,12,750,6.97,10.95,1,10.95,0.75,0.20
S17331900002,02/11/2014,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1012200,SCOTCH WHISKIES,260,Diageo Americas,5289,J & B Rare Scotch,12,1000,14.98,22.47,12,269.64,12.00,3.17
S12315600098,05/20/2013,2501,Hy-vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,POINT (-93.619455 42.022848),85,Story,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34004,Absolut Swedish Vodka 80 Prf,24,375,6.50,9.74,2,19.48,0.75,0.20
S27713900001,09/03/2015,4958,Five Corners Liquor & Wine,809 E 18TH ST,CEDAR FALLS,50613,POINT (-92.436845 42.5214),07,Black Hawk,1031080,VODKA 80 PROOF,297,Laird And Company,35926,Five O'clock PET Vodka,12,750,3.37,5.06,12,60.72,9.00,2.38
S14195500021,08/28/2013,4308,Keystone Liquor and Wine / Coralvill,517  2ND ST STE 2,CORALVILLE,52241,POINT (-91.574095 41.671543),52,Johnson,1052010,IMPORTED GRAPE BRANDIES,389,REMY COINTREAU USA         .,49186,Remy Martin Vsop Cognac,12,750,20.83,31.25,12,375.00,9.00,2.38
S21533300136,10/01/2014,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,POINT (-93.465301 41.644041),77,Polk,1081390,IMPORTED SCHNAPPS,260,Diageo Americas,69945,Rumple Minze Peppermint Schnapps Liqueur,12,375,7.13,10.70,2,21.40,0.75,0.20
S23808400055,02/03/2015,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,POINT (-91.73337 41.968343),57,Linn,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52597,E & J Vs Brandy Square,12,1000,6.94,10.41,2,20.82,2.00,0.53
S19069900054,05/21/2014,3644,Wal-Mart 2764 / Altoona,3501  8TH ST SW,ALTOONA,50009,POINT (-93.505276 41.644195),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43128,Bacardi Superior Rum,6,1750,13.51,21.01,6,126.06,10.50,2.77
S23026900057,12/17/2014,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,POINT (-92.899277 41.396961000000005),63,Marion,1071100,AMERICAN COCKTAILS,55,Sazerac North America,57125,Chi-Chi's Gold Margarita,6,1750,6.00,9.25,6,55.50,10.50,2.77
S23245900023,12/29/2014,4757,EZ Mart / Bondurant,1111 SE LINCOLN ST,BONDURANT,50035,POINT (-93.457069 41.692534),77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76040,Midnight Moon Strawberry,6,750,11.00,16.50,1,16.50,0.75,0.20
S05644700013,05/22/2012,3963,Tobacco Hut #14 / Council Bluffs,1925 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.873073 41.261866),78,Pottawattamie,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,4.88,7.32,1,7.32,0.50,0.13
S21904200023,10/21/2014,4150,Fareway Stores #951 / Waterloo,40  W SAN MARNAN,WATERLOO,50701,,07,Black Hawk,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54446,Paramount Apricot Flavored Brandy,12,750,5.48,8.22,12,98.64,9.00,2.38
